Section,Product Name,Chemical Name / Description,CAS Number,Grade / Traceability,Product Code,Pack Size,HSN Code,GST %,Other / Notes
Fine & Research Chemicals,n-Amyl-alcohol (mixed isomers),,71-41-0,LR,90638,500 ML,29051990,18,
Fine & Research Chemicals,"Aniline, 99%",,62-53-3,GC,99025,500 ML,29214110,18,
Fine & Research Chemicals,"Aniline, 99%",,62-53-3,AR,91544,500 ML,29033990,5,
Fine & Research Chemicals,"Aniline, 99%",,62-53-3,AR,91544,2.5 L,29033990,5,
Fine & Research Chemicals,"Aniline, 99%",,62-53-3,LR,91868,500 ML,29214110,18,
Fine & Research Chemicals,"Aniline, 99%",,62-53-3,LR,91868,2.5 L,29214110,18,
Fine & Research Chemicals,Anisole,,100-66-3,LR,93133,500 ML,29420090,18,
Fine & Research Chemicals,Anisole,,100-66-3,LR,93133,1 L,29093090,18,
Fine & Research Chemicals,Anisole,,100-66-3,LR,93133,2.5 L,29093012,18,
Fine & Research Chemicals,Anthraquinone,,84-65-1,Synthesis,91913,500 G,29146100,18,
Fine & Research Chemicals,Anthrone,,90-44-8,LR,93450,25 G,29143920,18,
Fine & Research Chemicals,Antimony Trichloride,,10025-91-9,LR,93383,500 G,28273990,18,
Fine & Research Chemicals,Antimony(III) oxide,,1309-64-4,LR,93086,500 G,13023100,18,
Fine & Research Chemicals,Arsenic trioxide,,1327-53-3,LR,93111,500 G,32041342,18,
Fine & Research Chemicals,Atropine sulphate monohydrate,,5908-99-6,Synthesis,96006,25 G,38220090,12,
Fine & Research Chemicals,Azure B for microscopy,,531-55-3,LR,92648,25 G,32049000,18,
Fine & Research Chemicals,"Barbituric acid, 99%",,67-52-7,Synthesis,91935,100 G,29335210,18,
Fine & Research Chemicals,"Barbituric acid, 99%",,67-52-7,Synthesis,91935,500 G,29335210,18,
Fine & Research Chemicals,Barium acetate,,543-80-6,LR,93074,500 G,29152990,18,
Fine & Research Chemicals,Barium carbonate,,513-77-9,LR,90338,500 G,28366000,18,
Fine & Research Chemicals,Barium carbonate,,513-77-9,LR,90338,5 KG,28366000,18,
Fine & Research Chemicals,Barium chloride dihydrate,,10326-27-9,AR,90124,500 G,28273990,18,
Fine & Research Chemicals,Barium chloride dihydrate,,10326-27-9,LR,90339,500 G,28273990,18,
Fine & Research Chemicals,Barium chromate,,10294-40-3,LR,93159,100 G,28164000,18,
Fine & Research Chemicals,Barium diphenylamine-4-sulphonate,,6211-24-1,LR,90340,5 G,29214490,18,
Fine & Research Chemicals,Barium diphenylamine-4-sulphonate,,6211-24-1,LR,90340,25 G,29214490,18,
Fine & Research Chemicals,Barium hydroxide octahydrate,,12230-71-6,AR,90125,500 G,28164000,18,
Fine & Research Chemicals,Barium hydroxide octahydrate,,12230-71-6,LR,90341,500 G,28164000,18,
Fine & Research Chemicals,Barium hydroxide octahydrate,,12230-71-6,LR,90341,5 KG,28164000,18,
Fine & Research Chemicals,Barium nitrate,,10022-31-8,AR,90126,500 G,28342930,18,
Fine & Research Chemicals,Barium nitrate,,10022-31-8,LR,90342,500 G,28342930,18,
Fine & Research Chemicals,Barium nitrate,,10022-31-8,LR,90342,5 KG,28342930,18,
Fine & Research Chemicals,Barium sulphate,,7727-43-7,AR,91513,500 G,28332700,18,
Fine & Research Chemicals,Barium sulphate,,7727-43-7,LR,90343,500 G,28332700,18,
Fine & Research Chemicals,Barium Sulphate (special battery grade),,7727-43-7,LR,90614,500 G,28332700,18,
Fine & Research Chemicals,Beef extract,,68990-09-0,MolBio,92636,500 G,29339900,18,
Fine & Research Chemicals,Beef extract,,68990-09-0,MolBio,92636,1 KG,29339900,18,
Fine & Research Chemicals,Benedict's Reagent (Qualitative),,63126-89-6,LR,91718,500 ML,38220090,18,
Fine & Research Chemicals,Benedict's Reagent (Qualitative),,63126-89-6,LR,91718,5 L,38220090,18,
Fine & Research Chemicals,Benedict's Reagent (Quantitative),,63126-89-6,LR,91719,500 ML,38220090,18,
Fine & Research Chemicals,Benedict's Reagent (Quantitative),,63126-89-6,LR,91719,5 L,38220090,18,
Fine & Research Chemicals,Bentonite powder,,1302-78-9,Synthesis,92895,500 G,25081090,5,
Fine & Research Chemicals,"Benzaldehyde, 99%",,100-52-7,AR,91520,500 ML,29122100,18,
Fine & Research Chemicals,"Benzaldehyde, 99%",,100-52-7,LR,91803,500 ML,29122100,18,
Fine & Research Chemicals,"Benzaldehyde, 99%",,100-52-7,GC,99044,250 ML,29122100,18,
Fine & Research Chemicals,Benzalkonium chloride 50%,,63449-41-2,LR,90752,500 ML,29239000,18,
Fine & Research Chemicals,Benzalkonium chloride 50%,,63449-41-2,LR,90752,5 L,29239000,18,
Fine & Research Chemicals,Benzalkonium chloride 80%,,63449-41-2,LR,91891,500 ML,29239000,18,
Fine & Research Chemicals,"Benzamide, 98%",,55-21-0,LR,91869,100 G,29239000,18,
Fine & Research Chemicals,Benzene,,71-43-2,HPLC,90009,1 L,29022000,18,
Fine & Research Chemicals,Benzene,,71-43-2,HPLC,90009,2.5 L,29022000,18,
